Customer_ID,Age,Gender,Total_Spend,Average_Order_Value,Purchase_Frequency,Last_Purchase_Days,Customer_Rating,Complaint_Raised,Return_Count,Churn
C00118,21,1,2296,574.0,4,35,5,0,0,0
C00119,53,1,4634,662.0,7,97,1,1,3,1
C00120,38,1,2796,699.0,4,95,2,0,3,0
C00121,58,1,5232,654.0,8,76,1,1,1,0
C00122,23,0,740,370.0,2,40,4,0,0,0
C00123,28,0,5193,577.0,9,61,3,0,4,0
C00124,37,0,6392,799.0,8,30,4,1,4,1
C00125,41,1,682,682.0,1,16,2,0,0,0
C00126,20,1,5424,678.0,8,50,4,1,2,1
C00127,35,0,380,380.0,1,114,3,0,5,0
C00128,56,1,1780,890.0,2,80,5,1,5,1
C00129,38,0,5661,629.0,9,6,2,0,0,0
C00130,37,0,6182,562.0,11,64,2,1,0,0
C00131,41,0,1372,343.0,4,60,5,0,5,0
C00132,33,0,1686,562.0,3,65,4,0,5,0
C00133,41,0,8436,703.0,12,54,2,0,1,0
C00134,44,0,4650,465.0,10,67,3,1,0,0
C00135,52,1,3624,302.0,12,43,4,1,2,1
C00136,20,1,6193,563.0,11,66,4,1,3,1
C00137,50,1,2307,769.0,3,42,4,0,4,0
C00138,56,1,6080,760.0,8,101,5,0,3,0
C00139,49,1,6210,690.0,9,9,1,1,1,0
C00140,44,1,4160,832.0,5,54,3,0,0,0
C00141,33,1,2635,527.0,5,92,5,0,1,0
C00142,33,0,3927,561.0,7,86,3,0,1,0
C00143,45,1,6276,523.0,12,68,2,0,3,0
C00144,41,1,5320,760.0,7,43,2,1,4,1
C00145,48,1,1890,315.0,6,55,1,0,3,0
C00146,57,1,5328,888.0,6,84,3,1,0,0
C00147,36,0,829,829.0,1,98,4,1,3,1
C00148,40,1,3325,665.0,5,75,4,1,0,0
C00149,58,1,9845,895.0,11,104,2,1,1,0
C00150,22,1,1528,764.0,2,86,5,1,4,1
C00151,39,1,3024,378.0,8,119,4,1,0,0
C00152,31,1,2115,423.0,5,4,4,0,1,0
C00153,27,0,1720,344.0,5,73,3,0,0,0
C00154,43,0,8320,832.0,10,103,4,1,5,1
C00155,18,1,1929,643.0,3,116,1,0,2,1
C00156,31,1,488,488.0,1,33,2,0,5,0
C00157,55,1,1426,713.0,2,8,5,0,1,0
C00158,23,1,4248,472.0,9,76,4,0,5,0
C00159,24,0,4000,400.0,10,80,2,0,3,0
C00160,40,1,3330,333.0,10,10,3,1,2,1
C00161,40,0,3360,560.0,6,97,5,0,4,0
C00162,49,0,7236,603.0,12,52,3,1,0,0
C00163,39,1,2766,461.0,6,83,5,1,2,1
C00164,45,1,4557,651.0,7,120,4,1,1,0
C00165,35,1,1533,511.0,3,109,5,0,0,0
C00166,38,0,3660,305.0,12,114,4,1,4,1
C00167,54,0,7280,728.0,10,63,3,0,5,0
C00168,20,1,2616,436.0,6,23,4,1,4,1
C00169,37,0,1628,407.0,4,108,2,0,5,0
C00170,23,0,2037,679.0,3,68,2,0,4,1
C00171,47,0,3800,475.0,8,46,1,0,1,0
C00172,60,0,2754,459.0,6,14,4,0,3,0
C00173,50,0,9816,818.0,12,114,2,0,4,0
C00174,18,0,2751,393.0,7,46,3,1,4,1
C00175,47,0,3810,635.0,6,112,3,0,0,0
C00176,32,1,1935,387.0,5,69,1,1,4,1
C00177,20,1,9559,869.0,11,13,3,0,4,0
C00178,30,0,520,520.0,1,23,3,1,5,1
C00179,24,1,4440,370.0,12,16,4,1,2,1
C00180,26,1,5558,794.0,7,38,2,0,2,0
C00181,25,0,3996,666.0,6,102,2,0,5,0
C00182,31,0,614,614.0,1,82,2,0,2,1
C00183,51,1,2090,418.0,5,24,4,0,1,0
C00184,38,0,6592,824.0,8,112,2,0,1,0
C00185,55,0,5170,517.0,10,45,3,0,0,0
C00186,56,0,772,386.0,2,73,3,1,4,1
C00187,57,0,4725,525.0,9,90,1,0,3,0
C00188,23,0,1780,445.0,4,107,4,0,5,0
C00189,27,0,618,309.0,2,66,2,1,1,1
C00190,53,0,2868,717.0,4,61,4,0,2,0
C00191,32,0,636,318.0,2,40,5,0,0,0
C00192,34,1,9053,823.0,11,111,3,0,5,0
C00193,19,1,2712,339.0,8,4,1,0,0,0
C00194,57,0,1164,388.0,3,33,3,1,0,0
C00195,42,0,4410,630.0,7,6,4,1,5,1
C00196,29,1,1590,318.0,5,72,1,0,5,0
C00197,49,0,7403,673.0,11,48,2,0,5,0
C00198,46,1,8532,711.0,12,63,3,1,1,0
C00199,21,0,3695,739.0,5,67,5,1,4,1
C00200,25,0,5272,659.0,8,88,4,1,1,0
C00201,54,0,2488,622.0,4,2,4,0,5,0
C00202,33,1,1503,501.0,3,105,2,1,5,1
C00203,36,0,5599,509.0,11,72,1,0,0,0
C00204,18,1,4840,484.0,10,119,3,0,1,0
C00205,24,0,4356,363.0,12,11,5,0,1,0
C00206,46,1,5268,439.0,12,29,3,0,4,0
C00207,48,1,8700,725.0,12,70,1,1,4,1
C00208,24,1,1428,476.0,3,22,2,0,5,0
C00209,48,1,8525,775.0,11,86,5,0,1,0
C00210,26,1,3015,603.0,5,82,5,0,5,0
C00211,47,0,5698,814.0,7,39,3,0,3,0
C00212,47,0,2070,345.0,6,60,1,1,3,1
C00213,46,0,5392,674.0,8,55,2,1,2,1
C00214,33,1,1020,340.0,3,75,2,0,1,1
C00215,46,0,588,588.0,1,116,5,1,0,0
C00216,55,1,5348,764.0,7,69,1,1,3,1
C00217,19,1,8064,896.0,9,45,4,0,1,0
C00218,56,1,573,573.0,1,104,3,0,1,0
C00219,42,0,6303,573.0,11,64,4,1,5,1
C00220,26,0,507,507.0,1,85,4,0,1,0
C00221,43,1,5560,695.0,8,118,2,1,3,1
C00222,57,1,5033,719.0,7,23,2,1,2,1
C00223,32,1,2516,629.0,4,20,2,1,1,0
C00224,35,1,2880,576.0,5,42,5,1,1,0
C00225,25,0,4350,435.0,10,62,5,1,3,1
C00226,21,1,4725,525.0,9,65,4,0,2,0
C00227,46,0,4800,800.0,6,100,5,1,0,0
C00228,41,0,2916,486.0,6,113,4,1,5,1
C00229,44,0,5472,684.0,8,59,1,1,1,0
C00230,38,1,4900,490.0,10,84,1,1,3,1
C00231,18,1,6896,862.0,8,118,3,1,2,1
C00232,18,0,3320,415.0,8,87,1,1,4,1
C00233,48,0,1275,425.0,3,54,2,1,3,1
C00234,30,0,3674,334.0,11,6,4,0,0,0
C00235,53,0,3129,447.0,7,112,1,0,3,0
C00236,36,1,2232,558.0,4,71,2,1,1,0
C00237,33,1,2880,480.0,6,36,4,0,5,0
C00238,47,1,1023,341.0,3,30,2,0,3,0
C00239,41,1,1062,354.0,3,89,5,0,1,0
C00240,27,1,5230,523.0,10,21,3,0,5,0
C00241,46,1,7713,857.0,9,64,3,0,2,0
C00242,35,1,698,349.0,2,103,5,0,5,0
C00243,19,1,10608,884.0,12,57,2,1,4,1
C00244,26,0,6600,825.0,8,2,2,1,3,1
C00245,31,0,2094,698.0,3,40,3,0,1,0
C00246,37,0,4130,413.0,10,83,2,1,2,1
C00247,45,0,768,768.0,1,39,5,0,0,0
C00248,36,0,810,405.0,2,108,2,1,0,1
C00249,26,0,4164,694.0,6,4,5,0,0,0
C00250,21,1,6340,634.0,10,41,2,1,5,1
C00251,33,1,6400,640.0,10,108,2,1,0,0
C00252,36,1,6809,619.0,11,111,4,1,4,1
C00253,37,0,4752,432.0,11,82,5,1,3,1
C00254,39,0,382,382.0,1,102,4,0,1,0
C00255,19,1,3248,464.0,7,90,4,0,5,0
C00256,31,1,3843,427.0,9,36,4,1,2,1
C00257,35,0,897,897.0,1,50,1,1,1,0
C00258,19,0,7029,781.0,9,63,3,1,4,1
C00259,35,1,5376,672.0,8,21,2,0,4,0
C00260,55,1,2478,826.0,3,119,3,0,0,0
C00261,49,1,9132,761.0,12,34,3,0,5,0
C00262,56,1,1428,714.0,2,2,3,0,5,0
C00263,46,1,5904,656.0,9,43,3,1,3,1
C00264,24,1,3136,392.0,8,15,2,1,4,1
C00265,51,0,686,686.0,1,120,3,1,0,0
C00266,58,0,3648,608.0,6,33,3,1,1,0
C00267,19,0,5892,491.0,12,115,4,0,2,0
C00268,27,1,4580,458.0,10,26,3,1,1,0
C00269,60,0,7430,743.0,10,80,2,1,0,0
C00270,58,1,3550,710.0,5,115,4,1,2,1
C00271,44,0,5304,663.0,8,61,3,1,3,1
C00272,48,0,5764,524.0,11,17,5,1,3,1
C00273,50,1,619,619.0,1,102,1,0,5,1
C00274,27,0,948,316.0,3,44,3,1,2,1
C00275,42,1,1488,372.0,4,11,3,0,4,0
C00276,38,0,1916,479.0,4,120,3,0,0,0
C00277,34,1,2436,406.0,6,24,3,0,3,0
C00278,54,0,5511,501.0,11,86,5,0,0,0
C00279,55,1,4224,704.0,6,100,5,1,0,0
C00280,24,1,4884,407.0,12,89,3,0,4,0
C00281,20,0,5830,583.0,10,97,4,0,0,0
C00282,46,1,3899,557.0,7,10,2,0,2,0
C00283,36,1,6864,858.0,8,9,1,1,3,1
C00284,38,0,3184,398.0,8,68,5,1,2,1
C00285,25,0,4796,436.0,11,27,3,1,5,1
C00286,24,1,2496,832.0,3,101,5,0,4,0
C00287,29,0,7557,687.0,11,21,3,0,3,0
C00288,52,1,3564,594.0,6,108,3,1,2,1
C00289,45,1,5131,733.0,7,113,5,0,0,0
C00290,49,0,5736,478.0,12,74,5,1,0,0
C00291,50,0,3480,348.0,10,111,3,0,3,0
C00292,26,1,4158,462.0,9,47,5,1,2,1
C00293,29,1,7758,862.0,9,29,4,0,2,0
C00294,36,1,5222,746.0,7,59,2,0,5,0
C00295,29,0,5772,481.0,12,35,2,0,4,0
C00296,46,1,7425,825.0,9,100,1,1,4,1
C00297,45,0,1608,536.0,3,77,5,0,2,0
C00298,21,1,3030,505.0,6,115,5,1,1,0
C00299,28,1,976,488.0,2,30,5,0,3,0
C00300,27,0,4160,832.0,5,54,1,1,3,1
C00301,30,0,2427,809.0,3,71,1,0,5,1
C00302,53,1,950,475.0,2,4,4,1,5,1
C00303,48,0,1635,545.0,3,68,3,0,5,0
C00304,32,0,4405,881.0,5,22,2,0,1,0
C00305,31,1,5382,598.0,9,65,1,0,4,0
C00306,37,0,9516,793.0,12,32,5,0,5,0
C00307,39,0,4411,401.0,11,87,2,1,1,0
C00308,47,1,3636,404.0,9,46,1,1,4,1
C00309,34,1,727,727.0,1,87,3,1,0,0
C00310,50,0,6528,544.0,12,52,1,0,1,0
C00311,52,0,8840,884.0,10,22,5,0,2,0
C00312,51,0,7065,785.0,9,3,2,1,0,0
C00313,38,0,3880,776.0,5,86,3,1,0,0
C00314,32,1,7752,646.0,12,10,1,1,1,0
C00315,19,0,4485,897.0,5,79,2,0,2,0
C00316,44,1,9130,830.0,11,17,4,0,3,0
C00317,39,1,2346,391.0,6,115,3,1,0,0
C00318,31,0,643,643.0,1,77,1,0,5,1
C00319,32,0,4266,474.0,9,3,3,0,5,0
C00320,45,0,5048,631.0,8,9,2,1,1,0
C00321,23,1,6501,591.0,11,113,2,1,3,1
C00322,48,1,2604,651.0,4,50,4,1,5,1
C00323,38,0,3480,580.0,6,57,3,0,2,0
C00324,20,0,6664,833.0,8,49,5,0,0,0
C00325,39,1,3760,470.0,8,61,1,1,5,1
C00326,18,1,3150,630.0,5,23,3,1,2,1
C00327,42,0,2315,463.0,5,28,1,0,5,0
C00328,42,1,4055,811.0,5,77,4,1,1,0
C00329,21,1,10440,870.0,12,118,2,1,4,1
C00330,26,0,3515,703.0,5,89,5,1,5,1
C00331,41,0,5152,736.0,7,73,1,1,0,0
C00332,22,0,796,796.0,1,74,5,0,4,0
C00333,47,0,3708,618.0,6,113,1,1,4,1
C00334,31,1,326,326.0,1,68,3,1,5,1
C00335,26,0,3400,680.0,5,33,3,1,5,1
C00336,48,1,4092,682.0,6,69,1,0,1,0
C00337,56,1,1662,831.0,2,15,2,1,0,0
C00338,29,0,369,369.0,1,13,2,1,0,0
C00339,23,1,614,614.0,1,93,1,1,0,1
C00340,54,1,2366,338.0,7,90,3,0,4,0
C00341,35,0,4860,486.0,10,5,4,1,5,1
C00342,24,1,6612,551.0,12,110,5,0,5,0
C00343,52,0,2620,655.0,4,81,5,1,2,1
C00344,52,1,1876,469.0,4,8,2,0,0,0
C00345,19,0,4356,484.0,9,112,1,0,4,0
C00346,20,0,1614,538.0,3,63,5,0,3,0
C00347,18,0,874,437.0,2,33,2,0,1,0
C00348,31,1,1580,395.0,4,97,1,1,3,1
C00349,43,0,1552,776.0,2,81,2,1,3,1
C00350,40,1,405,405.0,1,66,2,1,1,1
C00351,60,0,4345,869.0,5,16,5,1,0,0
C00352,45,1,5040,720.0,7,94,1,0,1,0
C00353,21,1,1374,687.0,2,60,1,1,4,1
C00354,55,0,4370,874.0,5,46,4,0,3,0
C00355,40,0,4974,829.0,6,67,1,1,2,1
C00356,47,0,3608,328.0,11,64,1,0,3,0
C00357,32,0,4842,538.0,9,7,2,0,5,0
C00358,53,0,2022,674.0,3,90,2,1,2,1
C00359,38,1,7659,851.0,9,66,3,0,2,0
C00360,43,0,5130,513.0,10,62,5,0,0,0
C00361,35,0,2352,784.0,3,72,3,0,4,0
C00362,52,0,9185,835.0,11,16,2,1,3,1
C00363,57,0,6780,678.0,10,38,3,0,4,0
C00364,29,1,4480,896.0,5,82,4,0,0,0
C00365,48,1,4536,504.0,9,45,3,0,0,0
C00366,35,1,3440,344.0,10,31,5,0,3,0
C00367,46,1,2349,783.0,3,11,4,1,0,0
C00368,58,0,3420,855.0,4,61,5,1,1,0
C00369,59,0,6352,794.0,8,39,5,1,3,1
C00370,57,1,4240,424.0,10,99,1,1,3,1
C00371,30,0,10800,900.0,12,50,4,0,2,0
C00372,23,1,8150,815.0,10,25,1,1,2,1
C00373,57,1,3920,560.0,7,9,1,0,5,0
C00374,44,1,8352,696.0,12,55,4,1,2,1
C00375,27,0,3381,483.0,7,73,4,1,4,1
C00376,49,0,4548,758.0,6,90,3,1,2,1
C00377,23,1,601,601.0,1,85,1,0,1,1
C00378,55,1,3570,595.0,6,41,4,0,0,0
C00379,43,0,2796,466.0,6,68,1,1,3,1
C00380,39,0,1504,376.0,4,72,1,0,4,0
C00381,58,0,7578,842.0,9,9,4,1,0,0
C00382,29,0,3280,328.0,10,14,4,0,0,0
C00383,44,1,4020,402.0,10,25,3,1,2,1
C00384,30,1,3871,553.0,7,90,1,1,4,1
C00385,54,1,6309,701.0,9,68,3,1,4,1
C00386,46,1,332,332.0,1,9,4,0,5,0
C00387,21,1,2696,337.0,8,46,5,1,3,1
C00388,52,1,3080,308.0,10,8,1,0,2,0
C00389,32,0,6182,562.0,11,89,1,0,0,0
C00390,45,0,4004,572.0,7,107,3,1,1,0
C00391,44,0,2328,388.0,6,4,2,0,1,0
C00392,49,0,5810,581.0,10,16,3,0,0,0
C00393,45,0,2330,466.0,5,77,3,0,5,0
C00394,36,0,1965,655.0,3,22,3,0,5,0
C00395,46,0,9570,870.0,11,69,2,0,1,0
C00396,31,0,9141,831.0,11,73,2,1,2,1
C00397,57,0,3640,728.0,5,107,4,1,3,1
C00398,21,0,4014,446.0,9,55,1,1,3,1
C00399,34,0,2220,740.0,3,98,3,1,0,0
C00400,38,1,1220,305.0,4,108,1,1,4,1
C00401,43,1,6180,515.0,12,27,1,1,0,0
C00402,53,0,4910,491.0,10,36,3,1,1,0
C00403,41,1,4744,593.0,8,6,2,1,2,1
C00404,48,0,3930,786.0,5,117,2,0,1,0
C00405,45,0,6057,673.0,9,75,2,1,5,1
C00406,36,1,7119,791.0,9,81,5,1,3,1
C00407,46,0,3493,499.0,7,106,1,1,1,0
C00408,35,1,3656,457.0,8,102,3,1,3,1
C00409,35,1,957,319.0,3,59,2,1,5,1
C00410,44,0,3384,564.0,6,47,4,0,3,0
C00411,24,1,2840,710.0,4,5,1,0,4,0
C00412,43,0,819,819.0,1,44,3,1,5,1
C00413,43,1,5752,719.0,8,110,3,1,0,0
C00414,32,1,4510,451.0,10,86,4,0,2,0
C00415,21,1,3055,611.0,5,108,3,0,4,0
C00416,28,1,3388,484.0,7,92,2,0,4,0
C00417,31,0,5509,787.0,7,4,3,1,2,1
C00418,39,0,488,488.0,1,55,4,1,3,1
C00419,40,1,5208,868.0,6,81,1,1,2,1
C00420,21,1,2415,345.0,7,49,3,0,5,0
C00421,54,0,3200,800.0,4,71,5,1,1,0
C00422,51,1,5760,480.0,12,76,4,1,4,1
C00423,60,1,4522,646.0,7,33,2,0,4,0
C00424,39,1,3344,836.0,4,44,3,1,2,1
C00425,36,0,1950,325.0,6,62,5,0,3,0
C00426,21,1,3200,800.0,4,14,4,1,3,1
C00427,30,0,4279,389.0,11,11,5,0,2,0
C00428,30,0,2265,755.0,3,18,4,1,1,0
C00429,36,1,3120,520.0,6,45,1,1,2,1
C00430,35,0,2196,366.0,6,72,4,1,3,1
C00431,23,0,7506,834.0,9,34,3,1,4,1
C00432,48,1,5005,715.0,7,23,5,1,5,1
C00433,24,0,7512,626.0,12,31,4,1,2,1
C00434,50,1,1041,347.0,3,116,2,0,2,1
C00435,59,1,7880,788.0,10,1,4,0,1,0
C00436,58,1,6120,612.0,10,96,3,1,3,1
C00437,37,0,3784,473.0,8,29,1,0,3,0
C00438,35,1,6399,711.0,9,76,5,0,1,0
C00439,45,1,2255,451.0,5,104,5,0,2,0
C00440,55,0,4212,468.0,9,40,1,0,3,0
C00441,26,0,3066,511.0,6,28,3,1,2,1
C00442,20,0,3942,438.0,9,33,1,1,0,0
C00443,24,0,2000,400.0,5,120,1,1,5,1
C00444,36,0,4116,343.0,12,12,3,0,5,0
C00445,43,0,686,686.0,1,90,1,1,1,1
C00446,29,0,7550,755.0,10,112,5,1,4,1
C00447,21,1,3120,624.0,5,112,3,0,4,0
C00448,24,0,4824,536.0,9,25,3,1,0,0
C00449,46,0,632,316.0,2,101,5,0,0,0
C00450,44,0,4120,515.0,8,93,2,0,5,0
C00451,55,0,4781,683.0,7,73,3,1,1,0
C00452,27,0,5464,683.0,8,3,3,0,5,0
C00453,40,1,954,477.0,2,103,3,1,0,0
C00454,57,0,5100,425.0,12,86,2,1,0,0
C00455,49,0,820,410.0,2,20,2,0,1,0
C00456,18,1,1230,410.0,3,100,2,0,3,1
C00457,33,0,6120,680.0,9,116,5,1,1,0
C00458,22,0,2149,307.0,7,84,1,0,4,0
C00459,55,1,9264,772.0,12,32,4,0,3,0
C00460,21,0,2800,350.0,8,51,2,0,4,0
C00461,30,0,3462,577.0,6,3,2,1,1,0
C00462,56,0,2664,444.0,6,64,2,1,5,1
C00463,46,1,3087,343.0,9,105,3,0,3,0
C00464,39,0,1380,460.0,3,119,3,0,0,0
C00465,49,1,1690,845.0,2,88,2,0,2,1
C00466,54,1,2142,714.0,3,106,3,0,1,0
C00467,39,1,1101,367.0,3,113,5,0,2,0
C00468,57,1,3843,549.0,7,102,3,0,3,0
C00469,56,0,978,326.0,3,84,5,1,2,1
C00470,47,0,8940,745.0,12,83,3,0,0,0
C00471,41,0,7227,803.0,9,100,2,0,1,0
C00472,23,1,3504,876.0,4,101,4,0,2,0
C00473,31,0,706,353.0,2,51,1,1,3,1
C00474,40,0,7515,835.0,9,120,4,0,3,0
C00475,33,1,319,319.0,1,69,3,0,3,0
C00476,18,0,1692,423.0,4,56,5,1,3,1
C00477,39,0,7020,585.0,12,115,1,1,5,1
C00478,38,0,1449,483.0,3,92,2,0,3,1
C00479,22,0,1329,443.0,3,72,2,1,5,1
C00480,58,1,7299,811.0,9,39,1,1,4,1
C00481,26,0,4212,468.0,9,95,2,0,5,0
C00482,18,0,5560,695.0,8,83,5,0,4,0
C00483,55,1,4434,739.0,6,30,1,1,0,0
C00484,26,0,3210,535.0,6,32,2,0,3,0
C00485,20,1,3010,301.0,10,1,1,0,5,0
C00486,42,1,1900,380.0,5,61,4,0,5,0
C00487,18,0,4384,548.0,8,94,3,1,3,1
C00488,24,1,3270,545.0,6,88,3,1,0,0
C00489,45,1,2204,551.0,4,111,2,0,2,0
C00490,40,1,904,452.0,2,104,1,0,5,1
C00491,41,1,2946,491.0,6,95,2,0,5,0
C00492,34,0,7332,611.0,12,68,5,1,5,1
C00493,59,0,812,406.0,2,24,1,1,2,1
C00494,36,1,2107,301.0,7,22,3,1,2,1
C00495,33,1,9295,845.0,11,40,4,0,4,0
C00496,22,1,4565,415.0,11,17,3,0,3,0
C00497,46,1,4530,755.0,6,64,2,1,4,1
C00498,20,1,4936,617.0,8,55,5,0,2,0
C00499,32,1,560,560.0,1,27,1,0,5,0
C00500,30,1,5184,864.0,6,29,1,0,4,0
C00501,25,1,405,405.0,1,42,2,0,3,0
C00502,36,1,2298,766.0,3,81,4,1,3,1
C00503,36,1,3600,300.0,12,112,1,0,1,0
C00504,23,1,3960,396.0,10,1,3,1,5,1
C00505,41,1,2844,474.0,6,91,3,0,5,0
C00506,55,1,3920,490.0,8,31,4,0,0,0
C00507,28,0,1936,484.0,4,95,2,0,3,0
C00508,47,0,4080,680.0,6,67,3,0,1,0
C00509,38,0,7308,609.0,12,89,4,0,0,0
C00510,34,1,1836,459.0,4,75,4,0,1,0
C00511,44,1,1350,675.0,2,53,3,1,1,0
C00512,20,1,8568,714.0,12,50,3,0,0,0
C00513,34,0,494,494.0,1,1,5,0,5,0
C00514,55,0,3647,521.0,7,26,4,1,2,1
C00515,41,1,2754,306.0,9,45,5,0,5,0
